Episode,Total Reward
0,-288373.0
1,-231497.0
2,-194308.0
3,-188654.0
4,-241344.0
5,-268945.0
6,-258880.0
7,-213089.0
8,-210205.0
9,-271473.0
10,-208457.0
11,-264621.0
12,-247837.0
13,-248496.0
14,-292107.0
15,-183183.0
16,-227774.0
17,-285084.0
18,-217690.0
19,-258662.0
20,-244665.0
21,-198336.0
22,-195484.0
23,-238396.0
24,-225956.0
25,-294107.0
26,-245497.0
27,-277494.0
28,-216201.0
29,-250285.0
30,-223008.0
31,-248462.0
32,-270049.0
33,-191157.0
34,-164477.0
35,-185677.0
36,-219364.0
37,-183881.0
38,-208295.0
39,-207246.0
40,-221838.0
41,-176339.0
42,-250798.0
43,-256537.0
44,-192508.0
45,-206793.0
46,-342866.0
47,-160845.0
48,-125222.0
49,-176106.0
50,-176499.0
51,-208561.0
52,-205959.0
53,-174945.0
54,-156036.0
55,-205549.0
56,-190408.0
57,-229528.0
58,-129428.0
59,-134146.0
60,-143260.0
61,-189884.0
62,-137191.0
63,-138317.0
64,-120762.0
65,-125614.0
66,-165232.0
67,-169268.0
68,-155648.0
69,-141300.0
70,-158678.0
71,-140040.0
72,-187781.0
73,-137309.0
74,-130907.0
75,-191262.0
76,-172582.0
77,-147466.0
78,-157501.0
79,-141053.0
80,-155807.0
81,-117331.0
82,-118314.0
83,-152149.0
84,-158874.0
85,-178450.0
86,-171956.0
87,-148689.0
88,-118960.0
89,-124886.0
90,-114997.0
91,-176287.0
92,-219398.0
93,-168364.0
94,-163047.0
95,-118623.0
96,-133743.0
97,-157660.0
98,-155201.0
99,-160452.0
100,-228230.0
101,-178312.0
102,-195386.0
103,-147666.0
104,-207974.0
105,-177538.0
106,-141295.0
107,-139317.0
108,-148581.0
109,-182194.0
110,-192405.0
111,-175238.0
112,-176473.0
113,-147947.0
114,-106842.0
115,-162472.0
116,-176267.0
117,-131652.0
118,-173080.0
119,-134717.0
120,-129269.0
121,-176409.0
122,-197944.0
123,-175905.0
124,-137674.0
125,-126591.0
126,-198678.0
127,-163966.0
128,-154750.0
129,-145125.0
130,-196314.0
131,-145399.0
132,-147580.0
133,-184716.0
134,-130097.0
135,-128789.0
136,-161493.0
137,-180693.0
138,-228485.0
139,-141414.0
140,-177088.0
141,-188682.0
142,-226771.0
143,-188186.0
144,-158057.0
145,-133972.0
146,-165691.0
147,-275420.0
148,-222135.0
149,-185858.0
